peak_value,fwhm,prominence,corr_energy,qc_coincidence,qc_bell_corr,qc_hom_vis,snr_db_true,snr_db_est,local_cv,label
0.6369991836285728,435.43174522519956,5.020146376750816,111.81915080964804,0.3815568401714945,0.2888804585479574,0.3817145231141794,-2,-1.661,0.49300134501090903,1
0.175414,420.0,5.0755,8.4523,0.270508,0.190625,0.47207,-16,-15.709,0.5047,0
0.6235606196685191,404.882303487691,5.110257983188615,110.46112702388996,0.3060619956993995,0.1796020096138995,0.46717300922742505,-2,-2.085,0.5044556279143032,1
0.7398136485593394,415.7680394757887,5.133940335542122,152.44582036683263,0.3119831679322323,0.19587858799948113,0.45707605889944963,0,0.321,0.4851836118348376,1
0.5368994775935324,432.51850799933123,5.134417214762857,83.65688388450012,0.3033670432878473,0.24783405782461274,0.4767727244095406,-4,-3.848,0.4784195120868828,1
0.695261,409.0,5.0669,133.136595,0.2375,0.162695,0.491797,0,0.063,0.5056,1
0.147307,366.0,4.4895,6.231819,0.331641,0.241602,0.428516,-20,-19.9,0.4979,0
0.8905386331698907,409.39532487294844,5.155690229691456,227.38758059390284,0.21738882588953648,0.20006751640470594,0.45089617381394537,6,6.153,0.5062121836838698,1
0.17432,380.0,4.9964,8.18389,0.263281,0.145898,0.425,-18,-17.87,0.495,0
0.1008659988170684,279.0792610085628,5.37843915361517,2.18994081539856,0.3657431637275698,0.19493147950951864,0.4565315012087609,-18,-17.927,0.4684817682482469,0
0.7842715847807183,418.76948416804925,5.116800307223525,176.85079606257506,0.2699444447967199,0.1851466269338236,0.4918469950643774,2,2.247,0.5027276192897722,1
0.223485,463.0,5.016,14.681895,0.373242,0.20332,0.44668,-14,-14.443,0.4533,0
0.433253,441.0,5.1046,54.666852,0.265039,0.29043,0.45332,-6,-5.96,0.5058,1
0.852403,404.0,5.1378,197.902256,0.191797,0.200391,0.50332,4,4.383,0.5052,1
0.8497324700439058,419.49859819612766,5.1368034996779794,199.20500175037844,0.24066878169235584,0.20379992910006206,0.4445574175380925,4,3.97,0.507625375986836,1
